[0.5169 0.4548 0.3913 0.3177 0.2397 0.1560 0.0841]
epoch=    3  step=   50  Loss=4.3022  cls_acc=70.95  best_map=30.86
[0.6170 0.5637 0.4803 0.3936 0.2905 0.1986 0.1102]
epoch=    7  step=  100  Loss=2.7609  cls_acc=78.10  best_map=37.91
[0.6490 0.5919 0.5095 0.4243 0.3153 0.2151 0.1216]
epoch=   11  step=  150  Loss=2.2014  cls_acc=88.57  best_map=40.38
[0.6474 0.5902 0.5131 0.4279 0.3132 0.2204 0.1216]
epoch=   15  step=  200  Loss=1.9353  cls_acc=83.81  best_map=40.48
[0.6843 0.6260 0.5419 0.4540 0.3373 0.2297 0.1279]
epoch=   19  step=  250  Loss=1.7849  cls_acc=86.67  best_map=42.87
[0.6803 0.6215 0.5325 0.4458 0.3321 0.2299 0.1292]
epoch=   23  step=  300  Loss=1.6618  cls_acc=87.62  best_map=42.87
[0.6891 0.6281 0.5442 0.4564 0.3422 0.2308 0.1289]
epoch=   26  step=  350  Loss=1.5746  cls_acc=90.95  best_map=43.14
[0.6913 0.6312 0.5427 0.4537 0.3389 0.2265 0.1299]
epoch=   30  step=  400  Loss=1.5039  cls_acc=89.52  best_map=43.14
[0.6996 0.6396 0.5534 0.4633 0.3466 0.2345 0.1355]
epoch=   34  step=  450  Loss=1.4484  cls_acc=91.90  best_map=43.89
[0.6918 0.6352 0.5477 0.4622 0.3438 0.2298 0.1315]
epoch=   38  step=  500  Loss=1.4099  cls_acc=89.52  best_map=43.89
[0.6996 0.6402 0.5558 0.4683 0.3484 0.2320 0.1340]
epoch=   42  step=  550  Loss=1.3411  cls_acc=91.43  best_map=43.98
[0.6972 0.6384 0.5450 0.4592 0.3418 0.2266 0.1312]
epoch=   46  step=  600  Loss=1.3185  cls_acc=90.95  best_map=43.98
[0.6992 0.6419 0.5465 0.4599 0.3455 0.2298 0.1326]
epoch=   49  step=  650  Loss=1.2679  cls_acc=90.95  best_map=43.98
[0.6959 0.6386 0.5480 0.4644 0.3484 0.2322 0.1360]
epoch=   53  step=  700  Loss=1.2560  cls_acc=90.48  best_map=43.98
[0.6984 0.6441 0.5531 0.4658 0.3487 0.2320 0.1369]
epoch=   57  step=  750  Loss=1.2248  cls_acc=90.95  best_map=43.99
[0.7057 0.6497 0.5646 0.4763 0.3556 0.2396 0.1388]
epoch=   61  step=  800  Loss=1.1895  cls_acc=91.43  best_map=44.72
[0.7073 0.6496 0.5630 0.4746 0.3585 0.2412 0.1380]
epoch=   65  step=  850  Loss=1.1701  cls_acc=91.43  best_map=44.75
[0.7023 0.6447 0.5612 0.4737 0.3550 0.2366 0.1385]
epoch=   69  step=  900  Loss=1.1509  cls_acc=90.95  best_map=44.75
[0.6966 0.6363 0.5409 0.4547 0.3409 0.2303 0.1346]
epoch=   73  step=  950  Loss=1.1277  cls_acc=90.48  best_map=44.75
[0.7008 0.6422 0.5562 0.4702 0.3535 0.2373 0.1366]
epoch=   76  step= 1000  Loss=1.1042  cls_acc=90.48  best_map=44.75
[0.7029 0.6449 0.5543 0.4653 0.3526 0.2366 0.1378]
epoch=   80  step= 1050  Loss=1.1003  cls_acc=90.95  best_map=44.75
[0.6812 0.6265 0.5372 0.4563 0.3423 0.2299 0.1323]
epoch=   84  step= 1100  Loss=1.0709  cls_acc=87.14  best_map=44.75
[0.7034 0.6442 0.5597 0.4749 0.3558 0.2412 0.1394]
epoch=   88  step= 1150  Loss=1.0441  cls_acc=91.90  best_map=44.75
[0.7007 0.6429 0.5592 0.4737 0.3560 0.2410 0.1396]
epoch=   92  step= 1200  Loss=1.0444  cls_acc=91.90  best_map=44.75
[0.7007 0.6421 0.5587 0.4697 0.3522 0.2417 0.1374]
epoch=   96  step= 1250  Loss=1.0217  cls_acc=90.48  best_map=44.75
[0.6880 0.6318 0.5463 0.4611 0.3445 0.2312 0.1327]
epoch=   99  step= 1300  Loss=1.0024  cls_acc=90.00  best_map=44.75
[0.6876 0.6299 0.5468 0.4635 0.3476 0.2357 0.1326]
epoch=  103  step= 1350  Loss=1.0031  cls_acc=87.14  best_map=44.75
[0.6973 0.6373 0.5521 0.4677 0.3515 0.2390 0.1368]
epoch=  107  step= 1400  Loss=0.9777  cls_acc=90.95  best_map=44.75
[0.7003 0.6427 0.5580 0.4695 0.3561 0.2435 0.1368]
epoch=  111  step= 1450  Loss=0.9692  cls_acc=91.43  best_map=44.75
[0.6889 0.6298 0.5484 0.4643 0.3481 0.2385 0.1386]
epoch=  115  step= 1500  Loss=0.9525  cls_acc=89.05  best_map=44.75
[0.6856 0.6277 0.5472 0.4644 0.3511 0.2413 0.1373]
epoch=  119  step= 1550  Loss=0.9504  cls_acc=87.62  best_map=44.75
[0.6985 0.6404 0.5605 0.4707 0.3546 0.2409 0.1401]
epoch=  123  step= 1600  Loss=0.9273  cls_acc=90.48  best_map=44.75
[0.7012 0.6432 0.5558 0.4710 0.3562 0.2433 0.1364]
epoch=  126  step= 1650  Loss=0.9220  cls_acc=90.00  best_map=44.75
[0.6990 0.6437 0.5624 0.4744 0.3552 0.2415 0.1414]
epoch=  130  step= 1700  Loss=0.9226  cls_acc=91.43  best_map=44.75
[0.7010 0.6463 0.5647 0.4737 0.3516 0.2407 0.1415]
epoch=  134  step= 1750  Loss=0.8927  cls_acc=90.95  best_map=44.75
[0.6909 0.6343 0.5520 0.4652 0.3466 0.2339 0.1357]
epoch=  138  step= 1800  Loss=0.8815  cls_acc=90.00  best_map=44.75
[0.6979 0.6440 0.5628 0.4703 0.3520 0.2443 0.1399]
epoch=  142  step= 1850  Loss=0.8895  cls_acc=89.52  best_map=44.75
[0.6992 0.6436 0.5589 0.4723 0.3533 0.2406 0.1416]
epoch=  146  step= 1900  Loss=0.8712  cls_acc=90.00  best_map=44.75
[0.6998 0.6439 0.5587 0.4742 0.3529 0.2395 0.1382]
epoch=  149  step= 1950  Loss=0.8543  cls_acc=90.95  best_map=44.75
[0.6850 0.6259 0.5460 0.4602 0.3383 0.2313 0.1359]
epoch=  153  step= 2000  Loss=0.8464  cls_acc=89.05  best_map=44.75
[0.7054 0.6492 0.5634 0.4756 0.3559 0.2410 0.1393]
epoch=  157  step= 2050  Loss=0.8440  cls_acc=90.95  best_map=44.75
[0.6988 0.6444 0.5617 0.4749 0.3555 0.2417 0.1403]
epoch=  161  step= 2100  Loss=0.8212  cls_acc=90.95  best_map=44.75
[0.7058 0.6482 0.5610 0.4706 0.3548 0.2421 0.1404]
epoch=  165  step= 2150  Loss=0.8209  cls_acc=90.48  best_map=44.75
[0.7011 0.6399 0.5459 0.4574 0.3473 0.2358 0.1325]
epoch=  169  step= 2200  Loss=0.8193  cls_acc=90.00  best_map=44.75
[0.6974 0.6426 0.5582 0.4650 0.3465 0.2396 0.1403]
epoch=  173  step= 2250  Loss=0.8209  cls_acc=87.62  best_map=44.75
[0.6955 0.6387 0.5546 0.4652 0.3486 0.2390 0.1381]
epoch=  176  step= 2300  Loss=0.8015  cls_acc=89.05  best_map=44.75
[0.7004 0.6409 0.5538 0.4639 0.3493 0.2349 0.1349]
epoch=  180  step= 2350  Loss=0.7953  cls_acc=89.05  best_map=44.75
[0.6988 0.6459 0.5596 0.4697 0.3509 0.2397 0.1433]
epoch=  184  step= 2400  Loss=0.7954  cls_acc=90.95  best_map=44.75
[0.7026 0.6449 0.5568 0.4657 0.3537 0.2400 0.1389]
epoch=  188  step= 2450  Loss=0.7739  cls_acc=89.52  best_map=44.75
[0.6719 0.6166 0.5353 0.4465 0.3306 0.2277 0.1284]
epoch=  192  step= 2500  Loss=0.7789  cls_acc=86.19  best_map=44.75
[0.7067 0.6487 0.5611 0.4723 0.3539 0.2426 0.1440]
epoch=  196  step= 2550  Loss=0.7816  cls_acc=90.48  best_map=44.75
[0.7058 0.6490 0.5635 0.4731 0.3544 0.2410 0.1421]
epoch=  199  step= 2600  Loss=0.7590  cls_acc=90.95  best_map=44.75
[0.6838 0.6289 0.5451 0.4539 0.3344 0.2257 0.1356]
epoch=  203  step= 2650  Loss=0.7563  cls_acc=86.67  best_map=44.75
[0.6928 0.6370 0.5500 0.4606 0.3436 0.2354 0.1379]
epoch=  207  step= 2700  Loss=0.7410  cls_acc=87.62  best_map=44.75
[0.7039 0.6474 0.5616 0.4769 0.3524 0.2421 0.1441]
epoch=  211  step= 2750  Loss=0.7322  cls_acc=88.57  best_map=44.75
[0.7114 0.6556 0.5668 0.4759 0.3555 0.2421 0.1418]
epoch=  215  step= 2800  Loss=0.7363  cls_acc=90.95  best_map=44.99
[0.7051 0.6481 0.5622 0.4703 0.3534 0.2399 0.1423]
epoch=  219  step= 2850  Loss=0.7319  cls_acc=90.48  best_map=44.99
[0.7094 0.6543 0.5641 0.4750 0.3552 0.2391 0.1405]
epoch=  223  step= 2900  Loss=0.7148  cls_acc=90.95  best_map=44.99
[0.7015 0.6477 0.5601 0.4717 0.3503 0.2417 0.1442]
epoch=  226  step= 2950  Loss=0.7095  cls_acc=90.95  best_map=44.99
