(AICL) root@4c91ca1b33d2:~/conda/share/doc/2026# CUDA_VISIBLE_DEVICES=0 sh ./scripts/train.sh
[0.5258 0.4682 0.3999 0.3262 0.2456 0.1595 0.0873]
epoch=    3  step=   50  Loss=4.3025  cls_acc=71.43  best_map=31.61
[0.6028 0.5508 0.4700 0.3847 0.2864 0.1965 0.1099]
epoch=    7  step=  100  Loss=2.6957  cls_acc=77.62  best_map=37.16
[0.6441 0.5847 0.5009 0.4208 0.3141 0.2110 0.1208]
epoch=   11  step=  150  Loss=2.0715  cls_acc=87.14  best_map=39.95
[0.6466 0.5877 0.5097 0.4283 0.3133 0.2161 0.1227]
epoch=   15  step=  200  Loss=1.8001  cls_acc=84.29  best_map=40.35
[0.6806 0.6210 0.5360 0.4494 0.3302 0.2244 0.1276]
epoch=   19  step=  250  Loss=1.6486  cls_acc=87.14  best_map=42.42
[0.6787 0.6220 0.5321 0.4450 0.3328 0.2278 0.1267]
epoch=   23  step=  300  Loss=1.5351  cls_acc=89.05  best_map=42.42
[0.6854 0.6270 0.5404 0.4519 0.3381 0.2286 0.1257]
epoch=   26  step=  350  Loss=1.4592  cls_acc=90.00  best_map=42.82
[0.6891 0.6307 0.5441 0.4520 0.3366 0.2251 0.1275]
epoch=   30  step=  400  Loss=1.4002  cls_acc=90.48  best_map=42.93
[0.6899 0.6317 0.5477 0.4583 0.3395 0.2281 0.1316]
epoch=   34  step=  450  Loss=1.3549  cls_acc=90.95  best_map=43.24
[0.6869 0.6307 0.5444 0.4577 0.3412 0.2265 0.1320]
epoch=   38  step=  500  Loss=1.3211  cls_acc=89.05  best_map=43.24
[0.6969 0.6388 0.5560 0.4680 0.3480 0.2299 0.1333]
epoch=   42  step=  550  Loss=1.2639  cls_acc=91.90  best_map=43.87
[0.6924 0.6354 0.5430 0.4517 0.3396 0.2251 0.1253]
epoch=   46  step=  600  Loss=1.2524  cls_acc=90.48  best_map=43.87
[0.6920 0.6350 0.5432 0.4521 0.3363 0.2249 0.1291]
epoch=   49  step=  650  Loss=1.2136  cls_acc=90.00  best_map=43.87
[0.6914 0.6328 0.5455 0.4605 0.3451 0.2278 0.1337]
epoch=   53  step=  700  Loss=1.2117  cls_acc=90.95  best_map=43.87
[0.6975 0.6414 0.5492 0.4643 0.3470 0.2256 0.1307]
epoch=   57  step=  750  Loss=1.1887  cls_acc=90.95  best_map=43.87
[0.7059 0.6532 0.5670 0.4766 0.3559 0.2405 0.1415]
epoch=   61  step=  800  Loss=1.1587  cls_acc=92.86  best_map=44.87
[0.7039 0.6501 0.5656 0.4744 0.3583 0.2381 0.1379]
epoch=   65  step=  850  Loss=1.1587  cls_acc=92.38  best_map=44.87
[0.6999 0.6458 0.5605 0.4726 0.3527 0.2364 0.1392]
epoch=   69  step=  900  Loss=1.1460  cls_acc=91.43  best_map=44.87
[0.6954 0.6353 0.5434 0.4551 0.3427 0.2292 0.1321]
epoch=   73  step=  950  Loss=1.1340  cls_acc=90.00  best_map=44.87
[0.7005 0.6448 0.5602 0.4732 0.3536 0.2390 0.1399]
epoch=   76  step= 1000  Loss=1.1166  cls_acc=91.43  best_map=44.87
[0.7023 0.6452 0.5526 0.4637 0.3523 0.2344 0.1407]
epoch=   80  step= 1050  Loss=1.1204  cls_acc=90.95  best_map=44.87
[0.6786 0.6240 0.5359 0.4531 0.3382 0.2260 0.1304]
epoch=   84  step= 1100  Loss=1.1023  cls_acc=87.62  best_map=44.87
[0.7048 0.6479 0.5600 0.4760 0.3554 0.2425 0.1380]
epoch=   88  step= 1150  Loss=1.0836  cls_acc=91.90  best_map=44.87
[0.7004 0.6436 0.5559 0.4715 0.3564 0.2412 0.1366]
epoch=   92  step= 1200  Loss=1.0896  cls_acc=91.43  best_map=44.87
[0.7027 0.6479 0.5579 0.4718 0.3540 0.2401 0.1396]
epoch=   96  step= 1250  Loss=1.0729  cls_acc=90.95  best_map=44.87
[0.6887 0.6336 0.5461 0.4625 0.3419 0.2317 0.1367]
epoch=   99  step= 1300  Loss=1.0605  cls_acc=89.05  best_map=44.87
[0.7049 0.6497 0.5592 0.4740 0.3551 0.2411 0.1388]
epoch=  103  step= 1350  Loss=1.0588  cls_acc=90.95  best_map=44.87
[0.6987 0.6449 0.5555 0.4711 0.3529 0.2407 0.1380]
epoch=  107  step= 1400  Loss=1.0362  cls_acc=91.43  best_map=44.87
[0.6997 0.6429 0.5543 0.4696 0.3559 0.2422 0.1363]
epoch=  111  step= 1450  Loss=1.0415  cls_acc=90.95  best_map=44.87
[0.7042 0.6480 0.5581 0.4748 0.3556 0.2439 0.1386]
epoch=  115  step= 1500  Loss=1.0288  cls_acc=90.48  best_map=44.87
[0.6876 0.6352 0.5481 0.4664 0.3510 0.2429 0.1393]
epoch=  119  step= 1550  Loss=1.0361  cls_acc=89.05  best_map=44.87
[0.7021 0.6458 0.5551 0.4739 0.3515 0.2409 0.1391]
