[0.5121 0.4556 0.3901 0.3189 0.2409 0.1562 0.0853]
epoch=    3  step=   50  Loss=4.4389  cls_acc=72.86  best_map=30.84
[0.6014 0.5477 0.4659 0.3810 0.2840 0.1939 0.1075]
epoch=    7  step=  100  Loss=2.8812  cls_acc=78.10  best_map=36.88
[0.6452 0.5865 0.5029 0.4193 0.3136 0.2086 0.1178]
epoch=   11  step=  150  Loss=2.2560  cls_acc=89.05  best_map=39.91
[0.6496 0.5914 0.5094 0.4253 0.3110 0.2125 0.1216]
epoch=   15  step=  200  Loss=1.9915  cls_acc=84.29  best_map=40.30
[0.6793 0.6207 0.5342 0.4468 0.3296 0.2199 0.1272]
epoch=   19  step=  250  Loss=1.8473  cls_acc=88.10  best_map=42.25
[0.6732 0.6157 0.5271 0.4388 0.3279 0.2214 0.1245]
epoch=   23  step=  300  Loss=1.7347  cls_acc=88.10  best_map=42.25
[0.6845 0.6275 0.5409 0.4516 0.3373 0.2267 0.1273]
epoch=   26  step=  350  Loss=1.6566  cls_acc=90.00  best_map=42.80
[0.6855 0.6282 0.5377 0.4495 0.3324 0.2225 0.1247]
epoch=   30  step=  400  Loss=1.5966  cls_acc=90.95  best_map=42.80
[0.6894 0.6303 0.5433 0.4531 0.3381 0.2260 0.1318]
epoch=   34  step=  450  Loss=1.5578  cls_acc=90.00  best_map=43.03
[0.6882 0.6320 0.5418 0.4581 0.3373 0.2250 0.1270]
epoch=   38  step=  500  Loss=1.5340  cls_acc=89.05  best_map=43.03
[0.7003 0.6450 0.5573 0.4683 0.3479 0.2321 0.1337]
epoch=   42  step=  550  Loss=1.4742  cls_acc=91.90  best_map=44.07
[0.6941 0.6378 0.5453 0.4532 0.3398 0.2260 0.1278]
epoch=   46  step=  600  Loss=1.4687  cls_acc=91.43  best_map=44.07
[0.6935 0.6358 0.5434 0.4527 0.3377 0.2274 0.1301]
epoch=   49  step=  650  Loss=1.4310  cls_acc=90.48  best_map=44.07
[0.6968 0.6398 0.5473 0.4567 0.3457 0.2274 0.1329]
epoch=   53  step=  700  Loss=1.4213  cls_acc=91.43  best_map=44.07
[0.7082 0.6514 0.5574 0.4662 0.3518 0.2324 0.1347]
epoch=   57  step=  750  Loss=1.3967  cls_acc=90.48  best_map=44.32
[0.7031 0.6506 0.5646 0.4736 0.3541 0.2364 0.1399]
epoch=   61  step=  800  Loss=1.3687  cls_acc=90.48  best_map=44.60
[0.7050 0.6528 0.5636 0.4766 0.3562 0.2355 0.1370]
epoch=   65  step=  850  Loss=1.3558  cls_acc=91.43  best_map=44.67
[0.6874 0.6366 0.5514 0.4683 0.3495 0.2371 0.1401]
epoch=   69  step=  900  Loss=1.3387  cls_acc=88.57  best_map=44.67
[0.6987 0.6415 0.5451 0.4583 0.3491 0.2346 0.1360]
epoch=   73  step=  950  Loss=1.3245  cls_acc=90.00  best_map=44.67
[0.7009 0.6479 0.5572 0.4731 0.3524 0.2381 0.1408]
epoch=   76  step= 1000  Loss=1.2991  cls_acc=90.00  best_map=44.67
[0.6989 0.6413 0.5493 0.4633 0.3498 0.2353 0.1392]
epoch=   80  step= 1050  Loss=1.3034  cls_acc=90.00  best_map=44.67
[0.6928 0.6374 0.5510 0.4647 0.3487 0.2358 0.1347]
epoch=   84  step= 1100  Loss=1.2788  cls_acc=88.57  best_map=44.67
[0.7034 0.6487 0.5574 0.4765 0.3569 0.2431 0.1405]
epoch=   88  step= 1150  Loss=1.2586  cls_acc=90.95  best_map=44.67
